제목,저자,출판사,출판일,가격
토지 10,박경리,다산책방,2023년 06월,"15,300"
누가 봐도 연애소설,이기호,위즈덤하우스,2020년 07월,"12,420"
눈길,이청준,사피엔스21,2012년 02월,"7,200"
사악한 무녀 ,박해로,북오션,2023년 08월,"15,750"
이문열 초한지 3,이문열,알에이치코리아(RHK),2020년 11월,"13,320"
사랑의 위대한 승리일 뿐,김솔,안온북스,2023년 10월,"14,400"
삼국평화고등학교 테러 사건,서귤,위즈덤하우스,2023년 06월,"15,120"
토지 9,박경리,다산책방,2023년 06월,"15,300"
광개토태왕 담덕 6,엄광용,새움,2023년 05월,"14,850"
세 살 버릇 여름까지 간다,이기호,마음산책,2017년 05월,"11,250"
내:색 [내:色],이수진,아무책방,2023년 10월,"12,600"
한강 3,조정래,해냄,2020년 11월,"15,750"
우리들의 일그러진 영웅 외,이문열,문학사상,2001년 02월,"11,700"
장길산 세트,황석영,창비,2004년 05월,"86,400"
전자적 숲 : 더 멀리 도망치기,이미상,문학과지성사,2023년 11월,"15,300"
수박 도둑,김택근,지성사,2023년 02월,"9,500"
아무도 아닌,황정은,문학동네,2016년 11월,"10,800"
삼대,염상섭,문학과지성사,2004년 12월,"13,500"
에세이스트의 책상,배수아,문학동네,2021년 06월,"11,250"
로렘 입숨의 책,구병모,안온북스,2023년 01월,"13,500"
식물들의 사생활,이승우,문학동네,2014년 01월,"13,950"
자네 이름은 산초가 좋겠다,가언,안전가옥,2023년 11월,"10,800"
유원,백온유,창비,2020년 06월,"11,700"
예술과 중력가속도 ,배명훈,북하우스,2016년 11월,"12,600"
까칠한 재석이가 결심했다,고정욱,애플북스,2023년 01월,"11,700"
가장 나쁜 일 ,김보현,민음사,2022년 07월,"13,500"
혼불 7,최명희,매안출판사,2009년 07월,"10,450"
혼불 8,최명희,매안출판사,2009년 07월,"10,450"
빨치산의 딸 1,정지아,필맥,2005년 05월,"8,550"
미중전쟁 1,김진명,쌤앤파커스,2017년 12월,"12,420"
행복배틀,주영하,고즈넉이엔티,2023년 04월,"13,500"
지상의 노래,이승우,민음사,2020년 05월,"12,600"
초월하는 세계의 사랑,우다영,허블,2022년 04월,"11,700"
회색인,최인훈,문학과지성사,2008년 11월,"11,700"
푸른 살,이태제,북다,2023년 07월,"13,500"
경애의 마음,김금희,창비,2018년 06월,"14,400"
퇴마록 말세편 5,이우혁,엘릭시르,2012년 10월,"15,300"
태백산맥 9,조정래,해냄,2020년 10월,"15,750"
슬픔도 힘이 된다,양귀자,쓰다,2014년 11월,"10,800"
일주일,최진영,자음과모음,2021년 09월,"10,800"
누구에게나 친절한 교회 오빠 강민호,이기호,문학동네,2018년 05월,"12,150"
"궤도의 밖에서, 나의 룸메이트에게",전삼혜,문학동네,2023년 03월,"12,600"
레이디 맥도날드,한은형,문학동네,2022년 03월,"13,050"
곁에 있다는 것,김중미,창비,2021년 03월,"12,600"
해시의 신루 세트,윤이수,해냄,2016년 10월,"71,100"
빨치산의 딸 2,정지아,필맥,2005년 05월,"8,550"
타오르는 마음,이두온,은행나무,2020년 07월,"13,050"
서 있는 여자,박완서,세계사,2012년 01월,"15,300"
녹즙 배달원 강정민,김현진,한겨레출판,2021년 04월,"12,600"
대리운전,이나래,안전가옥,2023년 03월,"10,800"
천국에서 온 탐정,이동원,스윙테일,2022년 12월,"14,220"
"이 밤은 괜찮아, 내일은 모르겠지만",서유미,민음사,2021년 10월,"12,600"
상냥한 폭력의 시대,정이현,문학과지성사,2016년 10월,"12,600"
스위처블 러브 스토리,김수연,엘리,2023년 08월,"14,220"
소설가 구보 씨의 일일 ,박태원,사피엔스21,2012년 07월,"6,300"
능소화,조두진,예담,2006년 09월,"8,100"
카페 네버랜드,최난영,고즈넉이엔티,2023년 08월,"15,030"
운수 좋은 날,현진건,피치마켓,2022년 07월,"9,000"
"나혜석, 글 쓰는 여자의 탄생",나혜석,민음사,2018년 03월,"10,800"
벗은 몸,주원규,뜰힘,2023년 03월,"13,500"
내가 좋아하는 사람이 나를 좋아하는,이필원,사계절,2021년 07월,"8,100"
교실 맨 앞줄,김성일,돌베개,2021년 05월,"10,800"
래빗,고혜원,팩토리나인,2023년 08월,"13,500"
감방에서 남자주인공을 만났습니다 2,문시현,위즈덤하우스,2020년 09월,"12,600"
