제목,저자,출판사,출판일,가격
82년생 김지영,조남주,민음사,2016년 10월,"12,600"
엄마의 말뚝,박완서,세계사,2012년 01월,"16,200"
나목,박완서,세계사,2012년 01월,"12,600"
습기,마태,해피북스투유,2023년 09월,"15,120"
뜻밖의 계절,임하운,시공사,2019년 08월,"11,520"
책들의 부엌,김지혜,팩토리나인,2022년 05월,"13,050"
친밀한 이방인,정한아,문학동네,2017년 10월,"11,700"
밤은 내가 가질게,안보윤,문학동네,2023년 11월,"14,400"
김약국의 딸들,박경리,다산책방,2023년 04월,"16,200"
스노볼 드라이브,조예은,민음사,2021년 02월,"12,600"
라스트 젤리 샷,청예,허블,2023년 08월,"15,120"
한 스푼의 시간,구병모,위즈덤하우스,2016년 09월,"10,800"
달까지 가자,장류진,창비,2021년 04월,"12,600"
13일의 김남우,김동식,요다,2017년 12월,"11,700"
재벌집 막내아들 1,산경,테라코타,2022년 11월,"15,300"
에이스와 새우깡,성승제,도서출판이곳,2023년 10월,"15,300"
랑과 나의 사막,천선란,현대문학,2022년 10월,"11,700"
이효석문학상 수상작품집 2023,안보윤,북다,2023년 09월,"13,500"
사랑의  생애,이승우,위즈덤하우스,2017년 03월,"14,400"
똑산,최태영,좋은땅,2023년 11월,"14,220"
경성 브라운,고예나,산지니,2023년 11월,"16,200"
재벌집 막내아들 2,산경,테라코타,2022년 11월,"15,300"
제주도우다 2,현기영,창비,2023년 07월,"15,300"
두근두근 내 인생,김애란,창비,2011년 06월,"12,600"
선택의 날,정해연,시공사,2023년 08월,"14,220"
록스타 로봇의 자살 분투기,클레이븐,네오픽션,2023년 11월,"12,600"
투명인간,성석제,창비,2014년 06월,"12,600"
가시고기,조창인,산지,2019년 05월,"13,500"
겨울방학,최진영,민음사,2019년 10월,"11,700"
경청  ,김혜진,민음사,2022년 10월,"13,500"
재벌집 막내아들 4,산경,테라코타,2022년 11월,"15,300"
264일의 쿠데타 2,노가원,시아컨텐츠,2017년 10월,"13,500"
재벌집 막내아들 5,산경,테라코타,2022년 11월,"15,300"
재벌집 막내아들 3,산경,테라코타,2022년 11월,"15,300"
BU 케어 보험,이희영,자이언트북스,2023년 11월,"14,220"
젓가락 달인,유타루,바람의아이들,2014년 06월,"11,700"
나의 아름다운 날들,정지아,은행나무,2023년 02월,"14,400"
귤의 맛,조남주,문학동네,2020년 05월,"11,250"
서울 1964년 겨울,김승옥,문학과지성사,2019년 09월,"15,300"
내 심장을 쏴라,정유정,은행나무,2009년 04월,"10,800"
초록은 어디에나,임선우,자음과모음,2023년 09월,"11,700"
브로콜리 펀치,이유리,문학과지성사,2021년 10월,"12,600"
그리고 봄,조선희,한겨레출판,2023년 10월,"15,120"
죽음은 언제나 당신과 함께,정보라,퍼플레인(갈매나무),2023년 11월,"15,750"
귀하의 노고에 감사드립니다,김의경,문학동네,2023년 09월,"15,300"
바르도 1,리민,무하유,2023년 08월,"17,100"
문어,김동식,요다,2021년 03월,"11,700"
이만큼 가까이,정세랑,창비,2021년 08월,"12,600"
일주일 만에 사랑할 순 없다,김동식,요다,2020년 03월,"11,700"
딩,문진영,현대문학,2023년 04월,"11,700"
나는 지금도 거기 있어,임솔아,문학동네,2023년 09월,"15,120"
작은 빛을 따라서,권여름,자이언트북스,2023년 10월,"14,220"
기억하는 소설,강영숙,창비교육,2021년 05월,"14,400"
애쓰지 않아도,최은영,마음산책,2022년 04월,"13,050"
저만치 혼자서,김훈,문학동네,2022년 06월,"13,500"
나는 나를 파괴할 권리가 있다,김영하,복복서가,2022년 05월,"10,350"
학폭교사 위광조,꿈몽글,파람북,2023년 12월,"15,300"
체공녀 강주룡,박서련,한겨레출판,2018년 07월,"11,700"
피해자,마동주,닥터지킬,2023년 11월,"15,120"
오직 두 사람,김영하,복복서가,2022년 07월,"11,700"
보건교사 안은영 (리커버 특별판),정세랑,민음사,2020년 09월,"12,600"
최선의 삶,임솔아,문학동네,2015년 07월,"10,800"
나인,천선란,창비,2021년 11월,"13,500"
삼미 슈퍼스타즈의 마지막 팬클럽,박민규,한겨레출판,2020년 12월,"12,420"
밤의 여행자들,윤고은,민음사,2013년 10월,"12,600"
이제야 언니에게,최진영,창비,2019년 09월,"14,400"
살인자의 정석,김동식,요다,2019년 03월,"11,700"
칼의 노래,김훈,문학동네,2012년 01월,"12,600"
당신들의 천국,이청준,문학과지성사,2012년 09월,"13,500"
1차원이 되고 싶어,박상영,문학동네,2021년 10월,"13,320"
당신이 보고 싶어하는 세상,장강명,문학동네,2023년 07월,"15,300"
허구의 삶,이금이,문학동네,2019년 10월,"11,250"
